,Unnamed: 0,State,City,Killed,Injured,AvgKilled,AvgInjured,Population,Houses,TotalArea,LandArea,PopDensity,HouseDensity,HousingPrice,NumIncidents,GVRate,LogPop,LogHousingPrice,LogPopDensity
1748,1748,ca,mosslanding,0.0,1.0,0.0,0.2,204.0,108.0,0.6000000000000005,0.3999999999999999,513.0,271.6000000000002,560256.306122449,5,0.0057670126874279125,2.3096301674258988,5.748386753558314,2.7101173651118162
1751,1751,ca,mountainview,10.0,0.0,0.4545454545454545,0.0,38219.0,17447.0,6.279999999999998,6.1450000000000005,7178.3999999999905,3159.399999999997,1665763.2653061226,22,0.00013544233465646128,4.582279319554067,6.221613280458145,3.8560276547429235
1765,1765,ca,newportbeach,2.0,1.0,0.4,0.2,85186.0,44193.0,52.98000000000001,23.799999999999976,3578.5,1856.5,1874356.66,5,1.3810609586496539e-05,4.930368225959869,6.272852233687256,3.553701021549961
1798,1798,ca,orinda,0.0,5.0,0.0,1.25,17643.0,6804.0,12.7,12.679999999999994,1391.0999999999995,536.5,1835381.2653061226,4,5.334560282198239e-05,4.2465724341217,6.263726294320651,3.1433583506154665
1809,1809,ca,paloalto,9.0,8.0,0.42857142857142855,0.3809523809523809,64403.0,28216.0,25.78999999999998,23.88000000000002,2696.5,1181.400000000001,2690818.2264150945,21,7.67227686689787e-05,4.808906097998011,6.429884360739876,3.430800424624181
1818,1818,ca,paynescreek,0.0,0.0,0.0,0.0,57.0,34.0,3.430000000000004,3.430000000000004,16.600000000000012,9.899999999999991,93339.42857142855,1,0.0041279669762641896,1.7558748556724915,4.970065137785102,1.2201080880400554
1828,1828,ca,piedmont,0.0,0.0,0.0,0.0,10667.0,3924.0,1.6800000000000013,1.6800000000000013,6358.5,2339.100000000002,1629486.8163265309,6,0.0001323488052763057,4.028042295090749,6.212050851073148,3.8033546756239023
1851,1851,ca,portolavalley,0.0,0.0,0.0,0.0,4353.0,1895.0,9.089999999999991,9.089999999999991,478.7999999999996,208.39999999999984,3534091.9795918367,1,5.405332360373509e-05,3.638788667157398,6.548277848427494,2.6801541417343726
1863,1863,ca,ranchopalosverdes,0.0,0.0,0.0,0.0,41643.0,16179.0,13.470000000000017,13.46,3092.7,1201.599999999999,1259692.1836734691,2,1.1300536351706592e-05,4.619542008939222,6.100264434590584,3.490337794344103
1864,1864,ca,ranchosantafe,0.0,1.0,0.0,0.5,3117.0,1391.0,6.790000000000003,6.720000000000005,464.20000000000056,207.10000000000016,2259450.836734694,2,0.00015097473060446506,3.49373680227684,6.354002895980509,2.6667051361198992
